tinh_id,district_num,id_district,Province,Region,goodroadv,agrext,tapwater,lnarea,lnpopden,city,treatment,year
31,19,103d19,Hai Phong,Red River Delta,0,0,0,2.9595868587493896,4.689629554748535,1,1,2006
31,19,103d19,Hai Phong,Red River Delta,1,1,0,1.3850435018539429,5.302064895629883,1,1,2006
31,21,103d21,Hai Phong,Red River Delta,1,0,0,1.8405497074127197,5.731953144073486,1,1,2006
31,21,103d21,Hai Phong,Red River Delta,1,0,0,1.6992785930633545,5.669692039489746,1,1,2006
31,21,103d21,Hai Phong,Red River Delta,1,0,0,1.82131826877594,5.712375640869141,1,1,2006
31,21,103d21,Hai Phong,Red River Delta,1,0,0,1.8148247003555298,5.842458248138428,1,1,2006
31,21,103d21,Hai Phong,Red River Delta,1,0,0,1.6409364938735962,5.5291829109191895,1,1,2006
31,21,103d21,Hai Phong,Red River Delta,1,0,0,1.8196988105773926,5.695645809173584,1,1,2006
26,2,104d2,Vinh Phuc,Red River Delta,1,0,0,2.4501426219940186,5.224939346313477,0,0,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,2.041220188140869,5.310579776763916,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,2.2894997596740723,4.922056674957275,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,2.580216884613037,4.936760425567627,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,1.6292405128479004,5.3683552742004395,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,1.763016939163208,5.575870990753174,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,2.088029623031616,5.243685245513916,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,2.602689743041992,4.356709003448486,0,1,2006
26,3,104d3,Vinh Phuc,Red River Delta,1,0,0,2.029463291168213,4.800330638885498,0,1,2006
26,4,104d4,Vinh Phuc,Red River Delta,1,0,0,2.2332351207733154,4.843418598175049,0,1,2006
26,4,104d4,Vinh Phuc,Red River Delta,1,1,0,2.314513683319092,5.098853588104248,0,1,2006
26,5,104d5,Vinh Phuc,Red River Delta,1,0,0,1.8033586740493774,5.549082279205322,0,1,2006
26,5,104d5,Vinh Phuc,Red River Delta,1,0,0,1.9919755458831787,5.347562313079834,0,1,2006
26,5,104d5,Vinh Phuc,Red River Delta,1,0,0,2.0028305053710938,5.162662982940674,0,1,2006
26,5,104d5,Vinh Phuc,Red River Delta,1,0,0,1.8855533599853516,5.404057025909424,0,1,2006
26,6,104d6,Vinh Phuc,Red River Delta,1,0,0,2.2512917518615723,5.526500701904297,0,1,2006
26,6,104d6,Vinh Phuc,Red River Delta,1,0,0,3.8684890270233154,2.8988540172576904,0,1,2006
26,6,104d6,Vinh Phuc,Red River Delta,1,0,0,3.802208185195923,3.360964298248291,0,1,2006
26,6,104d6,Vinh Phuc,Red River Delta,1,0,0,2.468946695327759,5.32711124420166,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,1.665818214416504,6.336206436157227,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,2.332144021987915,5.275237560272217,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,1.6134299039840698,5.676180362701416,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,1.0986123085021973,6.118097305297852,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,1.6042243242263794,5.7908830642700195,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,2.0028305053710938,5.888874053955078,0,1,2006
26,7,104d7,Vinh Phuc,Red River Delta,1,0,0,2.1747517585754395,5.395175933837891,0,1,2006
26,9,104d9,Vinh Phuc,Red River Delta,1,0,0,2.212660312652588,5.800351619720459,0,1,2006
26,9,104d9,Vinh Phuc,Red River Delta,1,0,0,2.1397130489349365,5.473117828369141,0,1,2006
26,9,104d9,Vinh Phuc,Red River Delta,1,0,0,1.266947627067566,5.952694416046143,0,1,2006
26,9,104d9,Vinh Phuc,Red River Delta,1,0,0,1.971299409866333,5.695858955383301,0,1,2006
26,9,104d9,Vinh Phuc,Red River Delta,0,0,0,1.6612709760665894,5.930086135864258,0,1,2006
26,9,104d9,Vinh Phuc,Red River Delta,1,0,0,2.033397674560547,5.453215599060059,0,1,2006
26,11,104d11,Vinh Phuc,Red River Delta,1,0,0,1.9823799133300781,5.656781196594238,0,0,2006
26,11,104d11,Vinh Phuc,Red River Delta,1,0,0,1.1151416301727295,5.838542461395264,0,0,2006
